date,min,max,pm25,q1,q3,stdev,count
2023-07-28T00:00:00.000Z,2.22,3.2,2.7,2.54,2.8,0.213,95
2023-07-29T00:00:00.000Z,2.02,3.93,3.1,2.9,3.3,0.289,168
2023-07-30T00:00:00.000Z,0.8,4.3,1.8,1.52,2.08,0.618,100
2023-08-01T00:00:00.000Z,1.4,6.45,2.66,2.02,3.78,1.083,474
2023-08-02T00:00:00.000Z,0.8,8.35,3.47,3,4.28,1.34,580
2023-08-03T00:00:00.000Z,0.63,3.85,1.52,1.2,2.91,0.898,572
2023-08-04T00:00:00.000Z,1.45,4.43,2.45,2.1,2.92,0.58,585
2023-08-05T00:00:00.000Z,0.8,5.05,1.3,1.2,1.5,0.332,583
2023-08-06T00:00:00.000Z,0.95,10.18,1.6,1.4,1.8,0.532,584
2023-08-07T00:00:00.000Z,1.4,21.4,5.38,2.52,11.15,5.527,584
2023-08-08T00:00:00.000Z,0.9,20.95,6.85,1.54,15.09,6.471,585
2023-08-09T00:00:00.000Z,1.25,3.23,2,1.77,2.29,0.36,583
2023-08-10T00:00:00.000Z,1.33,10.23,2.5,2.15,2.97,0.873,574
2023-08-11T00:00:00.000Z,1,12.63,1.73,1.5,2.42,0.932,571
2023-08-12T00:00:00.000Z,0.93,14.2,1.53,1.38,2,1.115,577
2023-08-13T00:00:00.000Z,1.2,20.1,2.17,1.85,2.6,1.407,584
2023-08-14T00:00:00.000Z,0.6,12.07,2.25,1.3,2.85,0.993,585
2023-08-15T00:00:00.000Z,0.9,5.7,2.36,1.6,2.97,1.014,582
2023-08-16T00:00:00.000Z,0.7,14.32,2.65,1.83,3.5,1.264,585
2023-08-17T00:00:00.000Z,0.5,2.5,1.08,0.9,1.3,0.293,585
2023-08-18T00:00:00.000Z,0.9,20.83,1.4,1.2,1.6,1.102,585
2023-08-19T00:00:00.000Z,0.8,2.43,1.3,1.1,1.6,0.305,584
2023-08-20T00:00:00.000Z,0.8,4.45,1.6,1.45,1.9,0.464,573
2023-08-21T00:00:00.000Z,1.6,6.38,2.6,2.23,3.15,0.869,561
2023-08-22T00:00:00.000Z,0.7,51.58,3.15,1.88,3.75,2.356,584
2023-08-23T00:00:00.000Z,2.4,9.23,4,3.55,4.38,0.695,584
2023-08-24T00:00:00.000Z,2.29,5.9,3.5,3.1,3.95,0.614,582
2023-08-25T00:00:00.000Z,1.6,9.8,2.72,2.15,3.9,1.71,581
2023-08-26T00:00:00.000Z,1.67,4.59,2.54,2.2,3.23,0.659,583
2023-08-27T00:00:00.000Z,1.85,7.6,2.8,2.45,4.13,1.067,577
2023-08-28T00:00:00.000Z,2.67,41.35,4,3.63,4.57,2.402,581
2023-08-29T00:00:00.000Z,0.5,5.4,2,1.12,3.73,1.362,580
2023-08-30T00:00:00.000Z,0.68,10.93,1.3,1.05,1.5,0.749,581
2023-08-31T00:00:00.000Z,1,7.6,1.7,1.52,1.9,0.376,582
2023-09-01T00:00:00.000Z,1.2,19.27,1.95,1.7,3.26,1.308,581
2023-09-02T00:00:00.000Z,0.7,9.57,1.3,1.1,2.33,0.842,581
2023-09-03T00:00:00.000Z,0.7,3.85,1.4,1.17,1.6,0.438,581
2023-09-04T00:00:00.000Z,0.7,21.67,1.7,1.4,1.95,1.01,578
2023-09-05T00:00:00.000Z,0.83,3.57,1.8,1.5,2.17,0.453,578
2023-09-06T00:00:00.000Z,0.77,38.93,1.2,1.1,1.43,1.809,569
2023-09-07T00:00:00.000Z,0.97,3.67,1.58,1.4,1.79,0.306,584
2023-09-08T00:00:00.000Z,0.8,3.17,1.7,1.4,2.29,0.572,582
2023-09-09T00:00:00.000Z,1.8,8.6,2.93,2.62,4.32,1.542,576
2023-09-10T00:00:00.000Z,1.45,13.25,4.5,2.2,9.27,3.839,581
2023-09-18T00:00:00.000Z,0.7,54.83,1.08,0.97,1.27,2.93,574
