date,min,max,pm25,q1,q3,stdev,count
2024-08-01T00:00:00.000Z,1.9,20.25,7.35,4.78,11.32,4.772,364
2024-08-02T00:00:00.000Z,0.3,8.52,1.8,1.27,4.22,2.245,565
2024-08-03T00:00:00.000Z,5.72,12.9,8.43,7.35,10.1,1.754,562
2024-08-04T00:00:00.000Z,2.7,12.05,5.5,4.8,9.96,2.727,544
2024-08-05T00:00:00.000Z,1.42,13.82,5.93,2.4,8.57,3.543,546
2024-08-06T00:00:00.000Z,1.7,5.28,2.7,2.27,3.1,0.533,539
2024-08-07T00:00:00.000Z,2.2,8.9,4.59,3.7,7.05,1.771,541
2024-08-08T00:00:00.000Z,2.15,8.52,5.25,3.98,6.05,1.363,552
2024-08-09T00:00:00.000Z,1.1,7.75,2.8,1.63,5.93,2.094,539
2024-08-10T00:00:00.000Z,0.2,8.19,1.6,0.6,4.07,2.107,534
2024-08-11T00:00:00.000Z,0.15,1.25,0.7,0.52,0.8,0.219,563
2024-08-12T00:00:00.000Z,0.28,7.1,4.32,3.2,5.21,1.801,536
2024-08-13T00:00:00.000Z,3.35,9.93,5.85,4.53,6.88,1.568,539
2024-08-14T00:00:00.000Z,2.13,8.82,5.57,3.08,6.78,1.881,519
2024-08-15T00:00:00.000Z,0.93,4.18,2,1.4,2.6,0.776,476
2024-08-16T00:00:00.000Z,0,11.2,1.84,0.45,2.88,1.47,448
2024-08-17T00:00:00.000Z,0.25,4.8,0.6,0.5,0.8,0.67,525
2024-08-18T00:00:00.000Z,0.4,204.55,1.5,1.02,2.13,10.414,539
2024-08-19T00:00:00.000Z,0.17,49.58,0.7,0.38,4,3.015,538
2024-08-20T00:00:00.000Z,0.2,5.15,1.75,0.56,3.53,1.443,532
2024-08-21T00:00:00.000Z,2.38,7.78,5.28,4.55,5.97,1.292,533
2024-08-22T00:00:00.000Z,2.9,8.93,6.75,5.2,7.22,1.356,526
2024-08-23T00:00:00.000Z,1.83,6.18,3.28,2.92,3.88,0.884,540
2024-08-24T00:00:00.000Z,0,5.6,0.8,0.5,1.55,1.182,547
2024-08-25T00:00:00.000Z,0.1,4.09,1.1,0.8,1.5,0.638,539
2024-08-26T00:00:00.000Z,0.5,6.9,2.47,1.73,3.17,1.471,539
2024-08-27T00:00:00.000Z,0.4,7.35,2.4,1.07,4.13,1.91,537
2024-08-28T00:00:00.000Z,1.3,9.85,2,1.7,4.09,1.255,545
2024-08-29T00:00:00.000Z,1.23,84.6,5.15,2.33,8.73,6.154,529
2024-08-30T00:00:00.000Z,5.28,12.85,8.73,7.57,10.1,1.497,543
2024-08-31T00:00:00.000Z,0.9,10.6,7.17,4.15,8.44,2.769,538
2024-09-01T00:00:00.000Z,1.9,7.3,4.88,3.63,5.65,1.239,542
2024-09-02T00:00:00.000Z,2,12.85,5.09,3.63,6.22,2.173,541
2024-09-03T00:00:00.000Z,1.08,8.52,2.7,2.2,4.03,1.652,537
2024-09-04T00:00:00.000Z,1.1,4.47,2.27,1.8,2.74,0.763,541
2024-09-05T00:00:00.000Z,2.95,9.05,5.79,4.57,6.68,1.292,542
2024-09-06T00:00:00.000Z,4.18,13.23,9.63,7.64,10.63,2.074,524
2024-09-07T00:00:00.000Z,8.38,15.27,10.73,9.77,11.93,1.325,472
2024-09-08T00:00:00.000Z,4.8,14.15,10.45,9.32,11.34,1.908,529
2024-09-09T00:00:00.000Z,9.93,19.38,14.63,12.65,16.35,2.411,539
2024-09-10T00:00:00.000Z,3.35,13.03,6.7,4.95,8.25,2.325,517
2024-09-11T00:00:00.000Z,1.1,4.59,2,1.7,3.42,0.912,543
2024-09-12T00:00:00.000Z,0.4,2.75,0.95,0.7,1.33,0.569,543
2024-09-13T00:00:00.000Z,0.4,2.15,0.93,0.73,1.17,0.283,512
2024-09-14T00:00:00.000Z,0.3,5.3,0.77,0.6,1,0.693,556
2024-09-15T00:00:00.000Z,0.1,14.02,0.47,0.32,0.8,1.854,539
2024-09-16T00:00:00.000Z,0.3,2,1.1,0.7,1.3,0.378,554
2024-09-17T00:00:00.000Z,0.1,6,1,0.6,1.4,0.859,542
2024-09-18T00:00:00.000Z,0,1.83,0.5,0.28,0.69,0.311,549
