date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.3,1.27,0.56,0.48,0.7,0.16,318
2019-12-10T00:00:00.000Z,0.2,2.02,0.72,0.54,1.04,0.362,402
2019-12-11T00:00:00.000Z,0.25,1.9,0.93,0.68,1.29,0.394,422
2019-12-12T00:00:00.000Z,0.25,4.95,2,1.72,2.31,0.998,487
2019-12-13T00:00:00.000Z,0.7,8.6,3.95,2.67,5,1.786,556
2019-12-14T00:00:00.000Z,2.24,10.5,4.9,3.25,7.76,2.291,402
2019-12-15T00:00:00.000Z,0.52,3.78,2.1,1.25,2.66,0.814,576
2019-12-16T00:00:00.000Z,0.76,2.34,1.42,1.27,1.6,0.277,289
2019-12-17T00:00:00.000Z,0.4,3.55,0.82,0.66,1.02,0.583,287
2019-12-18T00:00:00.000Z,0.32,5.96,1.13,0.75,2,0.775,435
2019-12-19T00:00:00.000Z,0.35,2,0.7,0.55,0.94,0.285,552
2019-12-20T00:00:00.000Z,0.56,4.59,2.02,1.58,2.38,0.697,587
2019-12-21T00:00:00.000Z,1.85,8.9,4.55,2.89,5.98,1.734,576
2019-12-22T00:00:00.000Z,0.74,8.82,2.88,1.4,5.03,2.219,589
2019-12-23T00:00:00.000Z,0.7,11.77,1.38,1.18,1.7,0.683,586
2019-12-24T00:00:00.000Z,0.74,3.7,1.58,1.31,1.91,0.553,592
2019-12-25T00:00:00.000Z,0.6,3.16,1.27,1.02,1.8,0.551,586
2019-12-26T00:00:00.000Z,0.32,2.62,0.94,0.7,1.6,0.575,583
2019-12-27T00:00:00.000Z,0.3,2.54,0.68,0.55,0.87,0.337,584
2019-12-28T00:00:00.000Z,0.45,1.82,0.99,0.71,1.2,0.296,581
2019-12-29T00:00:00.000Z,0.55,4.04,1.32,1.1,1.7,0.575,592
2019-12-30T00:00:00.000Z,0.25,27.73,0.7,0.55,0.99,1.309,576
2019-12-31T00:00:00.000Z,0.3,3.8,0.77,0.56,0.95,0.414,581
2020-01-01T00:00:00.000Z,0.3,1.6,0.74,0.55,0.88,0.209,589
2020-01-02T00:00:00.000Z,0.25,4.25,1.08,0.7,1.53,0.72,565
2020-01-03T00:00:00.000Z,0.24,3.83,0.76,0.56,1.73,0.881,547
2020-01-04T00:00:00.000Z,0.25,1.15,0.57,0.45,0.7,0.172,554
2020-01-05T00:00:00.000Z,0.32,1.62,0.74,0.64,0.86,0.184,396
2020-01-06T00:00:00.000Z,0.38,2.78,1.05,0.73,1.34,0.395,522
2020-01-07T00:00:00.000Z,0.5,2.16,0.94,0.8,1.15,0.289,496
2020-01-08T00:00:00.000Z,0.35,2.52,1,0.78,1.55,0.529,502
2020-01-09T00:00:00.000Z,0.3,2.25,0.95,0.65,1.42,0.459,533
2020-01-10T00:00:00.000Z,0.55,7.83,1.14,0.9,1.46,0.769,425
2020-01-11T00:00:00.000Z,0.35,1.74,0.9,0.7,1.14,0.29,531
2020-01-12T00:00:00.000Z,0.32,4.08,0.93,0.68,1.3,0.44,559
2020-01-13T00:00:00.000Z,0.3,1.4,0.57,0.43,0.8,0.214,488
2020-01-14T00:00:00.000Z,0.4,3.2,1.46,1.04,1.9,0.656,442
2020-01-15T00:00:00.000Z,0.23,4.45,1.56,0.84,2,0.789,456
2020-01-16T00:00:00.000Z,0.35,4.3,1.2,0.66,2.35,1.049,472
2020-01-17T00:00:00.000Z,0.35,3.17,1.38,0.7,2.24,0.797,470
2020-01-18T00:00:00.000Z,1.12,3.2,1.86,1.65,2.17,0.382,505
2020-01-19T00:00:00.000Z,0.92,3.28,1.66,1.45,1.88,0.386,466
2020-01-20T00:00:00.000Z,0.2,1.58,0.6,0.44,0.88,0.287,363
2020-01-21T00:00:00.000Z,0.2,2.95,0.97,0.79,1.13,0.306,463
2020-01-22T00:00:00.000Z,0.6,1.28,0.75,0.67,0.93,0.212,18
2020-01-23T00:00:00.000Z,0.4,1.33,0.65,0.56,0.8,0.195,83
2020-01-24T00:00:00.000Z,0.2,1.18,0.55,0.45,0.66,0.158,266
2020-01-25T00:00:00.000Z,0.25,4.73,0.52,0.42,0.72,0.583,297
2020-01-26T00:00:00.000Z,0.3,1.98,0.75,0.56,1.05,0.317,303
2020-01-27T00:00:00.000Z,0.35,1.82,0.65,0.5,1.02,0.356,255
2020-01-28T00:00:00.000Z,0.64,2.94,1.6,1.28,1.96,0.447,274
2020-01-29T00:00:00.000Z,1.5,3.37,2.35,2.1,2.62,0.351,305
2020-01-30T00:00:00.000Z,1.52,4.46,2.58,2.25,2.8,0.495,292
2020-01-31T00:00:00.000Z,1.64,6.5,3.22,2.74,3.88,0.969,282
2020-02-01T00:00:00.000Z,0.3,3.18,0.82,0.55,1.42,0.719,326
2020-02-02T00:00:00.000Z,0.2,17.5,0.55,0.43,0.74,1.231,326
2020-02-03T00:00:00.000Z,0.25,1.2,0.48,0.4,0.57,0.143,308
2020-02-04T00:00:00.000Z,0.3,1.75,0.55,0.43,0.76,0.256,246
2020-02-05T00:00:00.000Z,0.25,1.75,0.5,0.4,0.66,0.21,233
2020-02-06T00:00:00.000Z,0.28,1.53,0.6,0.45,0.74,0.214,234
2020-02-07T00:00:00.000Z,0.4,6.42,0.97,0.75,1.49,0.82,216
2020-02-08T00:00:00.000Z,0.44,2.43,1,0.76,1.29,0.385,193
2020-02-09T00:00:00.000Z,1,6.27,3.05,2.06,4.11,1.189,356
2020-02-10T00:00:00.000Z,0.2,4.7,1.46,0.46,2.02,0.981,358
2020-02-11T00:00:00.000Z,0.2,1.68,0.5,0.38,0.64,0.249,347
2020-02-12T00:00:00.000Z,0.7,4.7,1.98,1.5,2.58,0.822,383
2020-02-13T00:00:00.000Z,0.28,5.24,0.64,0.48,0.87,0.625,380
2020-02-14T00:00:00.000Z,0.3,2.15,0.85,0.57,1.15,0.384,379
2020-02-15T00:00:00.000Z,0.88,4.28,2.27,1.55,2.76,0.699,327
2020-02-16T00:00:00.000Z,0.2,6.57,2,1.02,3.02,1.418,379
2020-02-17T00:00:00.000Z,0.15,3.08,1.21,0.45,1.74,0.672,344
2020-02-18T00:00:00.000Z,0.2,2.42,0.6,0.46,0.76,0.428,304
2020-02-19T00:00:00.000Z,0.26,0.97,0.5,0.4,0.6,0.136,454
2020-02-20T00:00:00.000Z,0.34,1.63,0.79,0.6,0.99,0.26,498
2020-02-21T00:00:00.000Z,0.25,2.27,0.78,0.56,1.15,0.406,417
2020-02-22T00:00:00.000Z,0.3,5.55,0.88,0.65,1.2,0.586,425
2020-02-23T00:00:00.000Z,0.23,1.68,0.56,0.45,0.82,0.259,445
2020-02-24T00:00:00.000Z,0.38,1.38,0.74,0.56,0.9,0.208,525
2020-02-25T00:00:00.000Z,0.25,1.45,0.55,0.46,0.65,0.173,443
2020-02-26T00:00:00.000Z,0.3,4.22,0.7,0.46,1.18,0.587,401
2020-02-27T00:00:00.000Z,0.35,1.78,0.7,0.55,0.85,0.228,548
2020-02-28T00:00:00.000Z,0.35,2.16,0.9,0.71,1.05,0.27,555
2020-02-29T00:00:00.000Z,0.4,3.3,1.12,0.92,1.58,0.536,571
2020-03-01T00:00:00.000Z,0.35,3,1.06,0.6,1.57,0.589,576
2020-03-02T00:00:00.000Z,0.4,1.65,0.82,0.7,0.95,0.191,461
2020-03-03T00:00:00.000Z,0.5,1.28,0.88,0.76,0.98,0.146,429
2020-03-04T00:00:00.000Z,0.6,1.62,1,0.9,1.12,0.17,585
2020-03-05T00:00:00.000Z,0.28,1.78,0.82,0.65,0.96,0.273,583
2020-03-06T00:00:00.000Z,0.35,2.64,0.79,0.65,1.27,0.467,585
2020-03-07T00:00:00.000Z,0.5,2.86,1.25,0.96,1.57,0.442,587
2020-03-08T00:00:00.000Z,0.56,9.68,4.43,3.05,5.72,2.105,585
2020-03-09T00:00:00.000Z,0.68,10.22,1.41,1.13,4.58,2.612,582
2020-03-10T00:00:00.000Z,0.95,4.78,1.97,1.55,2.52,0.767,583
2020-03-11T00:00:00.000Z,1.67,8.1,4.33,3.57,4.84,1.004,575
2020-03-12T00:00:00.000Z,0.25,5.16,2.16,1.02,2.76,1.12,492
2020-03-13T00:00:00.000Z,0.25,1.46,0.43,0.35,0.5,0.125,515
2020-03-14T00:00:00.000Z,0.26,2.15,0.55,0.46,0.65,0.191,529
2020-03-15T00:00:00.000Z,1.3,3.03,2,1.84,2.2,0.275,290
2020-03-16T00:00:00.000Z,0.2,2.7,0.57,0.5,0.77,0.371,578
2020-03-17T00:00:00.000Z,0.4,1.8,0.88,0.68,1.2,0.295,583
2020-03-18T00:00:00.000Z,0.3,2.31,0.6,0.5,0.72,0.31,504
2020-03-19T00:00:00.000Z,0.3,1.48,0.55,0.45,0.65,0.157,549
2020-03-20T00:00:00.000Z,0.28,4.23,0.8,0.6,1.06,0.674,479
