date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.05,0.89,0.25,0.16,0.35,0.149,308
2019-12-10T00:00:00.000Z,0.1,4.59,0.72,0.36,1.25,0.813,421
2019-12-11T00:00:00.000Z,0,1.96,0.66,0.45,0.92,0.342,421
2019-12-12T00:00:00.000Z,0,3.84,1.56,1.25,1.79,0.798,489
2019-12-13T00:00:00.000Z,0.26,6.14,3.08,1.8,3.85,1.455,559
2019-12-14T00:00:00.000Z,1.25,7.2,3.56,2.42,5.82,1.785,398
2019-12-15T00:00:00.000Z,0.08,2.4,1.19,0.5,1.62,0.623,575
2019-12-16T00:00:00.000Z,0.2,1.43,0.52,0.4,0.75,0.294,288
2019-12-17T00:00:00.000Z,0.23,1.48,0.55,0.4,0.87,0.317,290
2019-12-18T00:00:00.000Z,0.05,2.29,0.56,0.35,1.23,0.523,470
2019-12-19T00:00:00.000Z,0,2.85,0.4,0.16,1.3,0.63,552
2019-12-20T00:00:00.000Z,0.05,3.16,1.25,1,1.46,0.417,585
2019-12-21T00:00:00.000Z,0.85,5.65,2.43,1.55,3.79,1.236,555
2019-12-22T00:00:00.000Z,0.2,5.84,1.62,0.68,3.08,1.578,569
2019-12-23T00:00:00.000Z,0.1,1.85,0.66,0.36,0.97,0.357,566
2019-12-24T00:00:00.000Z,0.26,3.12,0.95,0.78,1.25,0.412,588
2019-12-25T00:00:00.000Z,0.32,2.17,0.8,0.56,1.25,0.446,587
2019-12-26T00:00:00.000Z,0,1.88,0.45,0.23,1.1,0.53,591
2019-12-27T00:00:00.000Z,0.05,1.08,0.2,0.15,0.3,0.23,349
2020-01-24T00:00:00.000Z,0.1,0.72,0.32,0.25,0.4,0.127,93
2020-01-25T00:00:00.000Z,0,1.97,0.15,0.1,0.45,0.424,305
2020-01-26T00:00:00.000Z,0,1.68,0.43,0.3,0.75,0.304,307
2020-01-27T00:00:00.000Z,0.05,1.17,0.3,0.18,0.68,0.278,256
2020-01-28T00:00:00.000Z,0.44,2.2,0.95,0.76,1.39,0.386,272
2020-01-29T00:00:00.000Z,1.27,3.18,1.79,1.62,2.16,0.392,307
2020-01-30T00:00:00.000Z,1.02,2.78,1.85,1.68,2.06,0.324,291
2020-01-31T00:00:00.000Z,1.14,5.03,2.9,2.31,3.38,0.824,282
